1,case_id,caseid
2,week,week
3,id,
4,q1,"q1. A lot of people have been telling us they didn't get a chance to vote in this election or they chose not to vote. How about you ... did things come up that kept you from voting, did you CHOOSE not to vote, OR did you happen to vote?"
5,q2rot,
6,q2,reason not vote
7,q2open,q2open
8,Q2OPE0,Q2OPE0
9,Q2OPE1,Q2OPE1
10,Q2OPE2,q2. SPECIFY OTHER HERE
11,Q2OPE3,q2. SPECIFY OTHER HERE
12,Q2OPE4,q2. SPECIFY OTHER HERE
13,q3,q3. Did you have any problems or difficulties voting this year?
14,q4rot,
15,q4,q4. And what was the biggest problem or difficulty you had in trying to vote? Did you ...?
16,q4open,q4. SPECIFY OTHER HERE
17,Q4OPE0,q4. SPECIFY OTHER HERE
18,Q4OPE1,q4. SPECIFY OTHER HERE
19,Q4OPE2,q4. SPECIFY OTHER HERE
20,Q4OPE3,q4. SPECIFY OTHER HERE
21,Q4OPE4,q4. SPECIFY OTHER HERE
22,q5,"q5. Most people cast their votes on Election Day, but many were able to vote before Election Day. What about you? Did you vote ON Election Day or BEFORE Election Day?"
23,q6rot,
24,q6,"q6. Did you happen to vote for Hillary Clinton, the Democrat, Donald Trump, the Republican, or some other candidate?"
25,q7,"q7. Thinking of your spouse or partner ...  Did your spouse or partner vote for Hillary Clinton, the Democrat , Donald Trump, the Republican, some other candidate or were they not able to vote?"
26,q8rot,
27,q8,q8. Which of the following best describes how you feel about the outcome of this election?
28,q8open,q8. SPECIFY OTHER HERE
29,Q8OPE0,q8. SPECIFY OTHER HERE
30,Q8OPE1,q8. SPECIFY OTHER HERE
31,Q8OPE2,q8. SPECIFY OTHER HERE
32,Q8OPE3,q8. SPECIFY OTHER HERE
33,Q8OPE4,q8. SPECIFY OTHER HERE
34,q9,"q9. Do you think Donald Trump's position on immigration and immigrants helped or hurt him in the 2016 election, or do you think it did not make a difference in the election?"
35,q10rot,
36,q10,q10. What is the MOST serious problem with our current election system?
37,q10open,q10. SPECIFY OTHER HERE
38,Q10OP0,q10. SPECIFY OTHER HERE
39,Q10OP1,q10. SPECIFY OTHER HERE
40,Q10OP2,q10. SPECIFY OTHER HERE
41,Q10OP3,q10. SPECIFY OTHER HERE
42,Q10OP4,q10. SPECIFY OTHER HERE
43,q11rot,
44,q11,q11. Which of the following statements comes closest to your own view - even if neither is exactly right?
45,q12rot,
46,q12,"q12. Do you feel that the policies of the Democratic Party generally move the country in the right direction, are somewhat misguided but not dangerous, or are they so misguided they pose a serious threat to the country?"
47,q13,"q13. Do you feel that the policies of the Republican Party generally move the country in the right direction, are somewhat misguided but not dangerous, or are they so misguided they pose a serious threat to the country?"
48,q14rot,
49,q14,q14. On a different topic ...  Which do you think is the best way to promote economic growth in the U.S.?
50,q15rot,
51,q15a,"q15a.  [The federal government has far too much influence in our daily lives] As I read some statements on a few different topics, please tell me if you completely or mostly agree, mostly or completely disagree.  "
52,q15b,"q15b. [Things have changed so much that I often feel like a stranger in my own country] As I read some statements on a few different topics, please tell me if you completely or mostly agree, mostly or completely disagree. "
53,q15c,"q15c. [Efforts to increase diversity almost always come at the expense of whites] As I read some statements on a few different topics, please tell me if you completely or mostly agree, mostly or completely disagree. "
54,q15d,"q15d. [Society as a whole has become too soft and feminine] As I read some statements on a few different topics, please tell me if you completely or mostly agree, mostly or completely disagree. "
55,q15e,"q15e. [This election was our last chance to stop America's decline] As I read some statements on a few different topics, please tell me if you completely or mostly agree, mostly or completely disagree. "
